time_s,mean_moisture,cumulative_loss,residual
1365.0,2.3467408203731597,0.2032591796268405,4.440892098500626e-16
1366.0,2.346614199919088,0.20338580008091212,4.440892098500626e-16
1367.0,2.3464876013959226,0.20351239860407716,0.0
1368.0,2.346361024791782,0.20363897520821905,8.881784197001252e-16
1369.0,2.346234470094772,0.20376552990522653,-1.3322676295501878e-15
1370.0,2.3461079372930618,0.20389206270693838,4.440892098500626e-16
1371.0,2.3459814263748138,0.20401857362518655,4.440892098500626e-16
1372.0,2.3458549373282143,0.20414506267178475,-8.881784197001252e-16
1373.0,2.345728470141457,0.2042715298585423,-4.440892098500626e-16
1374.0,2.34560202480275,0.20439797519724964,0.0
1375.0,2.3454756013003344,0.2045243986996655,0.0
1376.0,2.345349199622461,0.2046508003775384,-4.440892098500626e-16
1377.0,2.3452228197574003,0.2047771802425999,4.440892098500626e-16
1378.0,2.345096461693426,0.2049035383065745,8.881784197001252e-16
1379.0,2.3449701254188318,0.20502987458116836,4.440892098500626e-16
1380.0,2.344843810917995,0.20515618908200456,-4.440892098500626e-16
1381.0,2.3447175178840287,0.20528248211597072,-4.440892098500626e-16
1382.0,2.344591245998909,0.2054087540010919,1.3322676295501878e-15
1383.0,2.344464995254538,0.20553500474546163,0.0
1384.0,2.3443387656429624,0.2056612343570377,4.440892098500626e-16
1385.0,2.344212557154716,0.20578744284528336,-4.440892098500626e-16
1386.0,2.344086369780163,0.20591363021983652,-4.440892098500626e-16
1387.0,2.3439602035095475,0.20603979649045226,0.0
1388.0,2.343834058332968,0.20616594166703156,-4.440892098500626e-16
1389.0,2.343707934240401,0.20629206575959874,-4.440892098500626e-16
1390.0,2.3435818312217425,0.20641816877825722,0.0
1391.0,2.3434557492668207,0.2065442507331787,-4.440892098500626e-16
1392.0,2.343329688365415,0.20667031163458424,-4.440892098500626e-16
1393.0,2.3432036485072607,0.2067963514927386,-4.440892098500626e-16
1394.0,2.3430776296820555,0.20692237031794383,-4.440892098500626e-16
1395.0,2.342951631879469,0.20704836812053165,8.881784197001252e-16
1396.0,2.3428256550891366,0.20717434491086253,-4.440892098500626e-16
1397.0,2.3426996993006735,0.20730030069932745,8.881784197001252e-16
1398.0,2.3425737645036757,0.20742623549632525,1.3322676295501878e-15
1399.0,2.342447850687712,0.20755214931228697,-4.440892098500626e-16
1400.0,2.342321957842363,0.2076780421576381,1.3322676295501878e-15
1401.0,2.3421960859571667,0.2078039140428337,4.440892098500626e-16
