time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
962.0,2.5499999989615048,2.549999997824228,2.5499999910301665,2.549999958556269,2.549999809525045,2.5499991584961155,2.5499964799688617,2.549986176338975,2.5499493123428683,2.5498271365044687,2.549453250079739,2.548399522587855,2.545670208868547,2.5391826073691273,2.5250400760684113,2.496756704444579,2.4447801645265517,2.3567249301859152,2.218485761065678,2.0157506137300576,1.734196343548923
963.0,2.549999998941736,2.549999997785079,2.549999990882437,2.5499999579340287,2.5499998069317713,2.5499991481724424,2.5499964413329366,2.549986041675551,2.5499488780452415,2.5498258470241066,2.549449740157843,2.5483907963550423,2.5456504589826525,2.5391420344190565,2.524964609929715,2.496629875909578,2.444587905369837,2.356462509874314,2.218164103524197,2.015398337910841,1.733854980162416
964.0,2.5499999989216264,2.549999997745296,2.549999990732537,2.5499999573035557,2.549999804307844,2.5499991377407376,2.5499964023429453,2.549985905945198,2.5499484408183783,2.549824550278811,2.549446214106761,2.5483820384134885,2.5456306546931287,2.539101381796634,2.5248890482132027,2.4965029626431265,2.4443956131235454,2.356200147124607,2.2178426084029743,2.0150463016257167,1.7335138759856372
965.0,2.54999999890117,2.549999997704867,2.5499999905804374,2.549999956664757,2.5499998016529597,2.549999127200081,2.5499963629963447,2.5499857691416086,2.549948000648525,2.549823246242857,2.5494426718869887,2.548373248718166,2.545610795975571,2.5390606495403047,2.524813391055602,2.4963759648687236,2.4442032880126545,2.3559378420293866,2.2175212755583043,2.0146945045203526,1.733173030340489
966.0,2.5499999988803617,2.549999997663784,2.5499999904261106,2.549999956017538,2.5499997989668124,2.549999116549547,2.5499963232905776,2.549985631258455,2.549947557521897,2.5498219348905016,2.549439113459056,2.548364427224177,2.545590882805813,2.5390198376887367,2.524737638593628,2.4962488828094402,2.4440109302614084,2.3556755946806396,2.217200104846533,2.0143429462434463,1.732832442564058
967.0,2.549999998859196,2.5499999976220384,2.5499999902695274,2.549999955361804,2.5499997962490935,2.549999105788204,2.549996283223076,2.5499854922893848,2.5499471114246823,2.549820616195982,2.5494355387835226,2.54835557388676,2.545570915159921,2.5389789462808197,2.524661790963978,2.49612171668792,2.443818540093318,2.3554134051697586,2.216879096124059,2.0139916264464985,1.7324921120077983
968.0,2.5499999988376674,2.5499999975796204,2.54999999011066,2.549999954697459,2.5499997934994925,2.549999094915115,2.5499962427912575,2.5499853522280262,2.5499466623430393,2.5498192901335197,2.549431947820984,2.548346688661284,2.5455508930141932,2.5389379753556636,2.524585848303333,2.495994466726377,2.443626117731165,2.35515127358754,2.2165582492473423,2.0136405447835997,1.7321520380367654
969.0,2.54999999881577,2.5499999975365197,2.549999989949479,2.5499999540244067,2.5499997907176972,2.549999083929336,2.5499962019925286,2.549985211067983,2.5499462102630965,2.5498179566773156,2.549428340532069,2.548337771503252,2.5455308163451638,2.5388969249525974,2.524509810748358,2.4958671331465987,2.443433663397003,2.3548892000241883,2.2162375640729097,2.013289700911238,1.7318122200288972
970.0,2.5499999987935,2.5499999974927268,2.549999989785955,2.5499999533425486,2.549999787903392,2.5499990728299173,2.549996160824282,2.549985068802838,2.549945755170954,2.5498166158015527,2.549424716877439,2.5483288223683,2.5455106851295968,2.538855795111169,2.524433678435697,2.4957397161699446,2.4432411773121627,2.3546271845693183,2.2159170404573616,2.0129390944881154,1.7314726573743364
971.0,2.549999998770851,2.5499999974482326,2.549999989620058,2.5499999526517865,2.5499997850562584,2.5499990616159045,2.5499961192838985,2.549984925426152,2.549945297052683,2.5498152674803993,2.54942107681779,2.5483198412121952,2.545490499344491,2.538814585871144,2.5243574515019755,2.4956122160173475,2.443048659697251,2.35436522731196,2.2155966782573775,2.0125887251749885,1.7311333494747905
972.0,2.5499999987478157,2.549999997403026,2.5499999894517584,2.549999951952021,2.549999782175977,2.5499990502863366,2.5499960773687462,2.5499847809314624,2.5499448358943257,2.5498139116880054,2.5494174203138544,2.548310827990841,2.5454702589670752,2.5387732972725026,2.5242811300837986,2.4954846329093154,2.442856110772154,2.3541033283405564,2.21527647732972,2.0122385926345174,1.7307942957429365
973.0,2.54999999872439,2.549999997357098,2.5499999892810252,2.549999951243152,2.5499997792622255,2.5499990388402463,2.54999603507618,2.5499846353122866,2.5499443716818955,2.5498125483985024,2.5494137473263967,2.548301782660272,2.54544996397481,2.5387319293554387,2.5242047143177473,2.495356967065929,2.4426635307560405,2.3538414877429723,2.2149564375312463,2.0118886965311247,1.7304554956018545
974.0,2.5499999987005673,2.5499999973104366,2.5499999891078287,2.5499999505250774,2.5499997763146776,2.5499990272766606,2.549995992403544,2.5499844885621172,2.549943904401377,2.549811177586007,2.549410057816219,2.5482927051766553,2.5454296143453847,2.5386904821603613,2.5241282043403803,2.4952292187068426,2.4424709198673615,2.353579705606493,2.214636558718908,2.0115390365308734,1.7301169484844965
975.0,2.5499999986763413,2.549999997263033,2.549999988932137,2.5499999497976957,2.5499997733330075,2.5499990155946017,2.549995949348167,2.549984340674427,2.5499434340387284,2.5498097992246174,2.549406351744157,2.548283595496294,2.5454092100567203,2.538648955727891,2.5240516002882334,2.4951013880512884,2.442278278323857,2.3533179820178294,2.2143168407497633,2.0111896123013455,1.729778653833188
