time_s,mean_moisture,cumulative_loss_factor,effective_balance_residual
1912.0,2.2682386411727853,5.6352372417818615e-05,5.032618788369803e-07
1913.0,2.268110708372559,5.63779589779138e-05,5.032621284151162e-07
1914.0,2.267982787127874,5.6403543226901276e-05,5.032623811018766e-07
1915.0,2.2678548774357195,5.642912516538173e-05,5.032626289036557e-07
1916.0,2.267726979293098,5.645470479395669e-05,5.032628820345053e-07
1917.0,2.26759909269699,5.648028211322845e-05,5.032631325008197e-07
1918.0,2.267471217644382,5.650585712380011e-05,5.032633834112232e-07
1919.0,2.267343354132258,5.6531429826275536e-05,5.032636365420728e-07
1920.0,2.2672155021575766,5.655700022125925e-05,5.032638736857109e-07
1921.0,2.267087661623855,5.658256832809908e-05,5.032643510816115e-07
1922.0,2.2669598324326534,5.6608134166444174e-05,5.032648746627899e-07
1923.0,2.2668320145777403,5.6633697737534116e-05,5.032654115666446e-07
1924.0,2.266704208052701,5.665925904264973e-05,5.032659502468562e-07
1925.0,2.2665764128510673,5.6684818083085075e-05,5.032664933679598e-07
1926.0,2.2664486289663337,5.671037486014039e-05,5.032670364890635e-07
1927.0,2.2663208563919848,5.673592937511901e-05,5.032675804983455e-07
1928.0,2.2661930951214915,5.676148162932564e-05,5.032681200667355e-07
1929.0,2.26606534514834,5.6787031624065403e-05,5.032686676287312e-07
1930.0,2.265937606465994,5.681257936064319e-05,5.032692107498349e-07
1931.0,2.265809879067936,5.683812484036325e-05,5.032697529827601e-07
1932.0,2.2656821629476527,5.686366806452886e-05,5.032702974361314e-07
1933.0,2.2655544580986273,5.6889209034442205e-05,5.032708387808782e-07
1934.0,2.2654267645143595,5.691474775140416e-05,5.032713810138034e-07
1935.0,2.2652990821883514,5.6940284216714224e-05,5.032719232467286e-07
1936.0,2.2651714111141095,5.696581843167043e-05,5.032724623710294e-07
1937.0,2.2650437512851544,5.6991350397569294e-05,5.032730014953302e-07
1938.0,2.2649161026950106,5.701688011570578e-05,5.032735401755417e-07
1939.0,2.2647884653372117,5.7042407587373276e-05,5.032740788557533e-07
1940.0,2.2646608392052983,5.7067932813863575e-05,5.032746166477864e-07
1941.0,2.2645332242928196,5.709345579646685e-05,5.032751544398195e-07
1942.0,2.2644056205933305,5.7118976536471665e-05,5.032756895673174e-07
1943.0,2.2642780281004002,5.714449503516496e-05,5.032762255829937e-07
1944.0,2.2641504468075992,5.717001129383206e-05,5.032767602664023e-07
1945.0,2.2640228767085118,5.719552531375669e-05,5.032772958379894e-07
1946.0,2.2638953177967234,5.722103709622094e-05,5.032778287450412e-07
1947.0,2.263767770065836,5.7246546642505316e-05,5.032783634284499e-07
1948.0,2.2636402335094483,5.727205395388872e-05,5.03278892782788e-07
1949.0,2.2635127081211825,5.7297559031648484e-05,5.032794256898399e-07
1950.0,2.2633851938946514,5.732306187706034e-05,5.032799537119104e-07
1951.0,2.2632576908234947,5.7348562491398464e-05,5.032804875071406e-07
1952.0,2.2631301989013393,5.7374060875935474e-05,5.03281017305568e-07
1953.0,2.263002718121832,5.739955703194244e-05,5.032815448835493e-07
1954.0,2.262875248478629,5.742505096068889e-05,5.032820742378874e-07
1955.0,2.262747789965387,5.745054266344282e-05,5.032826018158687e-07
1956.0,2.2626203425757754,5.747603214147073e-05,5.0328312939385e-07
1957.0,2.2624929063034673,5.750151939603759e-05,5.032836560836529e-07
1958.0,2.262365481142146,5.752700442840688e-05,5.032841809970989e-07
1959.0,2.2622380670855042,5.7552487239840604e-05,5.032847076869018e-07
1960.0,2.2621106641272326,5.757796783159928e-05,5.032852294917234e-07
1961.0,2.261983272261044,5.7603446204941963e-05,5.032857544051694e-07
1962.0,2.261855891480647,5.762892236112624e-05,5.032862788745263e-07
1963.0,2.2617285217797582,5.7654396301408276e-05,5.032868002352586e-07
1964.0,2.2616011631521085,5.767986802704277e-05,5.032873229282586e-07
