time_s,time_h,D_center_m2_s,D_half_radius_m2_s,D_surface_m2_s
181200.0,50.333333333333336,9.399124144086027e-10,7.644075026983054e-10,3.523253753154729e-12
181260.0,50.35,9.395319444942815e-10,7.640924529079845e-10,3.5220593873657828e-12
181320.0,50.36666666666667,9.391517684335764e-10,7.637776498795724e-10,3.5208665748609514e-12
181380.0,50.38333333333333,9.387718860450501e-10,7.634630934545035e-10,3.5196753133515904e-12
181440.0,50.4,9.383922969943598e-10,7.63148783348547e-10,3.5184856000166686e-12
181500.0,50.416666666666664,9.380130009528915e-10,7.628347192821908e-10,3.51729743206693e-12
181560.0,50.43333333333333,9.376339975851387e-10,7.625209009703071e-10,3.516110806694645e-12
181620.0,50.45,9.372552865608637e-10,7.622073281320998e-10,3.5149257211202303e-12
181680.0,50.46666666666667,9.368768675507299e-10,7.618940004875336e-10,3.513742172569065e-12
181740.0,50.483333333333334,9.364987402256503e-10,7.615809177567947e-10,3.5125601582722914e-12
181800.0,50.5,9.36120904257064e-10,7.612680796605197e-10,3.5113796754674137e-12
181860.0,50.516666666666666,9.357433594477707e-10,7.609554860273594e-10,3.510200721819084e-12
181920.0,50.53333333333333,9.353661051952545e-10,7.606431363528026e-10,3.5090232936761035e-12
181980.0,50.55,9.349891413219264e-10,7.603310304816178e-10,3.507847388807734e-12
182040.0,50.56666666666667,9.346124674983572e-10,7.600191681338025e-10,3.506673004456888e-12
182100.0,50.583333333333336,9.342360834007448e-10,7.59707549033989e-10,3.5055001378974797e-12
182160.0,50.6,9.33859988698498e-10,7.593961729012704e-10,3.5043287863853168e-12
182220.0,50.61666666666667,9.33484183066199e-10,7.590850394590092e-10,3.5031589472036307e-12
182280.0,50.63333333333333,9.331086661793369e-10,7.587741484313131e-10,3.501990617640694e-12
182340.0,50.65,9.32733437713636e-10,7.584634995425107e-10,3.500823794990135e-12
182400.0,50.666666666666664,9.323584973453373e-10,7.58153092517374e-10,3.4996584765520348e-12
182460.0,50.68333333333333,9.319838448813128e-10,7.578429271880734e-10,3.4984946600490754e-12
182520.0,50.7,9.316094797254728e-10,7.575330030555841e-10,3.4973323419014613e-12
182580.0,50.71666666666667,9.312354017039925e-10,7.572233199679436e-10,3.4961715199346562e-12
182640.0,50.733333333333334,9.308616104922783e-10,7.569138776493068e-10,3.4950121914537833e-12
