time_s,mean_moisture,max_moisture,center_gap,monotonicity,effective_balance_residual
44580.0,0.3247218924012676,0.4397389686725707,0.0,-1.884904732296633e-09,2.6473834635609705e-07
44640.0,0.3242231492748422,0.43905522386050844,0.0,-1.8813390845195954e-09,2.649397252696417e-07
44700.0,0.3237263921278519,0.43837385844511184,0.0,-1.8777832067051747e-09,2.651404149567327e-07
44760.0,0.3232316118497965,0.43769486263360796,0.0,-1.874237154364522e-09,2.653406747654685e-07
44820.0,0.3227387993602793,0.4370182266724367,0.0,-1.8707008164753347e-09,2.655403190665595e-07
44880.0,0.3222479456095766,0.43634394084752426,0.0,-1.867174248548764e-09,2.6573927724982127e-07
44940.0,0.3217590415786065,0.4356719954840334,0.0,-1.8636572840513566e-09,2.6593756796700063e-07
45000.0,0.32127207827882115,0.43500238094621896,0.0,-1.8601499784942632e-09,2.685037046035177e-07
45060.0,0.3207870467531995,0.4343350876435649,0.0,-1.8566523318774841e-09,2.6204767777926463e-07
45120.0,0.3203039380621657,0.4336701059969761,0.0,-1.8531642331787168e-09,2.5626127442279767e-07
45180.0,0.3198227433317157,0.4330074265120245,0.0,-1.8496857934202637e-09,2.5650521973119567e-07
45240.0,0.31934345368219447,0.4323470396964746,0.0,-1.8462168460686712e-09,2.5674653558738214e-07
45300.0,0.31886606027967573,0.4316889361096069,0.0,-1.842757557657393e-09,2.5698701033860516e-07
45360.0,0.3183905543192785,0.4310331063475807,0.0,-1.8393076506306727e-09,2.572268766876107e-07
45420.0,0.31791692702630464,0.43037954104444315,0.0,-1.835867236010813e-09,2.574659583309824e-07
45480.0,0.31744516965677716,0.42972823087240036,0.0,-1.8324363693089651e-09,2.577041957607662e-07
45540.0,0.31697527349740057,0.42907916654156086,0.0,-1.829014828480524e-09,2.5794160096737073e-07
45600.0,0.3165072298654778,0.4284323387998034,0.0,-1.8256027245477924e-09,2.701724204356992e-07
45660.0,0.31604103010764456,0.42778773843785745,0.0,-1.82220005751077e-09,2.594472992001329e-07
45720.0,0.3155766655930895,0.42714535625853933,0.0,-1.8188066608360032e-09,2.4931653808124565e-07
45780.0,0.31511412775539105,0.4265051831485822,0.0,-1.8154227010569457e-09,2.495953506098658e-07
45840.0,0.31465340801872266,0.42586720999260336,0.0,-1.8120479561289926e-09,2.4987111801877404e-07
45900.0,0.3141944978556348,0.4252314277270979,0.0,-1.808682426052144e-09,2.5014588933558457e-07
45960.0,0.31373738876753554,0.4245978273239821,0.0,-1.805326221848702e-09,2.504198852726347e-07
46020.0,0.3132820722861206,0.42396639979175765,0.0,-1.8019792324963646e-09,2.5069293174695417e-07
46080.0,0.31282853997390697,0.42333713617579755,0.0,-1.7986415135062828e-09,2.5096498124099753e-07
46140.0,0.31237678342417113,0.42271002755807835,0.0,-1.7953128428338516e-09,2.512360404161029e-07
46200.0,0.31192679426088954,0.4220850650570615,0.0,-1.791993442523676e-09,2.717715776867635e-07
46260.0,0.31147856413522823,0.42146223983169234,0.0,-1.78868303502e-09,2.57726034735839e-07
46320.0,0.31103208472582283,0.4208415430536465,0.0,-1.7853818978785796e-09,2.437355455242596e-07
46380.0,0.3105873477751045,0.420222965978107,0.0,-1.7820897535436586e-09,2.44043232289215e-07
46440.0,0.31014434501186483,0.4196064998535375,0.0,-1.7788067130375396e-09,2.443474849123106e-07
46500.0,0.30970306821606214,0.41899213598076057,0.0,-1.77553266533792e-09,2.4465058290346064e-07
46560.0,0.3092635091963911,0.41837986569463,0.0,-1.7722677769782536e-09,2.449527527481621e-07
46620.0,0.3088256597919274,0.41776968036530243,0.0,-1.7690116038693304e-09,2.452538172548202e-07
46680.0,0.3083895118726898,0.4171615713985568,0.0,-1.7657645901003605e-09,2.4555374134038743e-07
46740.0,0.30795505733954,0.4165555302355109,0.0,-1.762526347093285e-09,2.458525267812206e-07
46800.0,0.3075222881241473,0.41595154835251574,0.0,-1.7592972079150115e-09,2.733022763656834e-07
46860.0,0.3070911961832727,0.4153496172640554,0.0,-1.7560767839874813e-09,2.5689848959231654e-07
46920.0,0.3066617735057611,0.41474972849794217,0.0,-1.7528653528664506e-09,2.395440334979071e-07
46980.0,0.3062340121442817,0.41415187366545747,0.0,-1.7496627480184657e-09,2.398741494324952e-07
47040.0,0.30580790413312636,0.41355604436625243,0.0,-1.7464689139323752e-09,2.4020048527972904e-07
47100.0,0.3053834415606144,0.41296223225292317,0.0,-1.7432839616304818e-09,2.4052550795516936e-07
47160.0,0.30496061654373063,0.41237042901078375,0.0,-1.7401076135570293e-09,2.408494683692197e-07
47220.0,0.3045394212298905,0.41178062635918644,0.0,-1.7369402582900761e-09,2.4117217867214436e-07
47280.0,0.30411984779756235,0.4111928160518923,0.0,-1.7337814517404126e-09,2.414936188799288e-07
47340.0,0.30370188845611656,0.41060698987677047,0.0,-1.7306314159526437e-09,2.4181378632803785e-07
47400.0,0.30328553544581216,0.4100231396557039,0.0,-1.7274899843933156e-09,2.747656648871555e-07
47460.0,0.30287078102994197,0.4094412572463769,0.0,-1.7243574346181845e-09,2.569712629352239e-07
47520.0,0.30245761750809136,0.40886133452033246,0.0,-1.7212331560045868e-09,2.3675640781206653e-07
47580.0,0.30204603724433976,0.40828336343294347,0.0,-1.7181177591751862e-09,2.371021308178456e-07
47640.0,0.3016360325791459,0.4077073359227262,0.0,-1.7150108555519239e-09,2.374437890750869e-07
47700.0,0.3012275959098499,0.407133243981816,0.0,-1.7119125006459512e-09,2.377839769529544e-07
47760.0,0.30082071966242435,0.40656107963384086,0.0,-1.7088228054795707e-09,2.3812299243530788e-07
47820.0,0.30041539629324615,0.4059908349352139,0.0,-1.7057416035193285e-09,2.384606303529324e-07
47880.0,0.30001161828981243,0.4054225019755815,0.0,-1.7026688392540734e-09,2.387968871531143e-07
47940.0,0.2996093781705279,0.40485607287749825,0.0,-1.6996045681949568e-09,2.3913175617451543e-07
48000.0,0.2992086684847106,0.4042915397963448,0.0,-1.6965487348308272e-09,2.76162977375094e-07
48060.0,0.2988094818026913,0.4037288949209944,0.0,-1.6935013391616849e-09,2.5794155744662817e-07
48120.0,0.29841181073479983,0.4031681304546202,0.0,-1.6904622701652272e-09,2.3537388127436998e-07
48180.0,0.29801564795717783,0.4026092386850064,0.0,-1.6874318609083616e-09,2.3572811214123135e-07
48240.0,0.2976209861166119,0.4020522118775423,0.0,-1.6844095562795758e-09,2.360780766430537e-07
48300.0,0.29722781791953673,0.4014970423519758,0.0,-1.6813956338346259e-09,2.364264166665464e-07
48360.0,0.29683613610101467,0.40094372245841836,0.0,-1.6783901490846631e-09,2.3677350347028892e-07
48420.0,0.2964459334263823,0.4003922445785271,0.0,-1.6753928244739313e-09,2.3711910701607053e-07
48480.0,0.29605720269209357,0.39984260112604986,0.0,-1.6724038820470355e-09,2.3746324240292438e-07
48540.0,0.2956699367254364,0.3992947845464738,0.0,-1.6694231552705219e-09,2.3780589897270943e-07
48600.0,0.2952841283845541,0.39874878731695523,0.0,-1.6664506996555417e-09,2.774955563111803e-07
48660.0,0.29489977054661715,0.3982046019458627,0.0,-1.6634863486686413e-09,2.597952484251209e-07
48720.0,0.2945168561319196,0.39766222095619336,0.0,-1.6605303798655768e-09,2.3538073667950243e-07
48780.0,0.2941353781285195,0.3971216369567754,0.0,-1.6575822936459872e-09,2.3573623719741477e-07
48840.0,0.2937553294889339,0.39658284252820125,0.0,-1.6546425896102335e-09,2.360873687656806e-07
48900.0,0.2933767032279045,0.3960458303061857,0.0,-1.6517109902025595e-09,2.3643671021034152e-07
48960.0,0.292999492388893,0.3955105929558417,0.0,-1.6487874954229653e-09,2.3678478155986227e-07
49020.0,0.2926236900452771,0.39497712317251965,0.0,-1.6458721052714509e-09,2.3713127506042042e-07
49080.0,0.29224928930151345,0.3944454136825934,0.0,-1.64296454219226e-09,2.3747623290049091e-07
49140.0,0.29187628329273324,0.3939154572430537,0.0,-1.6400652502746027e-09,2.3781966751457162e-07
49200.0,0.2915046651847174,0.3933872466413983,0.0,-1.6371740074738739e-09,2.787648418767219e-07
49260.0,0.2911344281603487,0.39286077469410796,0.0,-1.6342906472566199e-09,2.625069117634382e-07
49320.0,0.29076556544810994,0.3923360342324826,0.0,-1.6314154471785969e-09,2.3674413274221706e-07
49380.0,0.29039807034680665,0.3918130181753262,0.0,-1.6285478521282926e-09,2.3709367402702242e-07
49440.0,0.2900319361131248,0.3912917194070802,0.0,-1.6256885282395217e-09,2.374388610171252e-07
49500.0,0.28966715606833054,0.39077213086809764,0.0,-1.6228369759119232e-09,2.3778213043001983e-07
49560.0,0.28930372356244505,0.3902542455272296,0.0,-1.6199933616789508e-09,2.3812412663914984e-07
49620.0,0.28894163197500583,0.3897380563823418,0.0,-1.617157574518302e-09,2.3846450991626966e-07
49680.0,0.2885808747164012,0.389223556461237,0.0,-1.614329669941128e-09,2.388033193412298e-07
49740.0,0.28822144522742454,0.38871073882123425,0.0,-1.6115094814139752e-09,2.391405655721712e-07
49800.0,0.28786333697925603,0.38819959654906355,0.0,-1.6086972864925997e-09,2.7997251583755656e-07
49860.0,0.2875065434582485,0.3876901227582294,0.0,-1.6058928076212453e-09,2.660404456733545e-07
49920.0,0.2871510581981554,0.38718231057709396,0.0,-1.6030961003110633e-09,2.394149865025952e-07
49980.0,0.28679687480616883,0.38667615322365156,0.0,-1.6003070535397512e-09,2.39751501318608e-07
50040.0,0.28644398684046984,0.3861716438751495,0.0,-1.5975258338407627e-09,2.400838123861604e-07
50100.0,0.28609238792585817,0.38566877576551306,0.0,-1.5947523857029466e-09,2.4041409263375613e-07
50160.0,0.28574207171593846,0.38516754215639337,0.0,-1.5919865425928492e-09,2.4074313209609954e-07
50220.0,0.2853930318932914,0.3846679363372452,0.0,-1.5892283600216217e-09,2.4107056217914646e-07
50280.0,0.28504526217099324,0.38416995162640055,0.0,-1.5864776714558104e-09,2.413964197423013e-07
50340.0,0.28469875629213043,0.38367358137063656,0.0,-1.5837348099623227e-09,2.417207105587238e-07
50400.0,0.28435350802978887,0.3831788189450731,0.0,-1.5809996645188562e-09,2.811202994834616e-07
